Time_s,X_m,Y_m,Theta_rad
0,0.5,0.5,1.5
0.5,0.502365900544877,0.574942656932817,1.56876705821338
1,0.50224391114422,0.649942388514914,1.57495524919172
1.5,0.501924900283139,0.724941709929125,1.57491468437651
2,0.501632837807125,0.799941140283531,1.57434493193959
2.5,0.501383247137452,0.874940724089049,1.57380808510681
3,0.501171621381115,0.949940424862603,1.57334787806116
3.5,0.500992353568426,1.02494021014375,1.57295752838705
4,0.500840513176827,1.09994005610133,1.5726268488926
4.5,0.500711905667472,1.17493994559217,1.5723467605997
5,0.500602976415497,1.24993986631383,1.57210952790644
5.5,0.50051071448381,1.32493980944025,1.57190859411511
6,0.500432569610476,1.39993976863966,1.57173840524401
6.5,0.500366381742313,1.4749397393697,1.57159425704653
7,0.500310321333311,1.5499397183717,1.57147216504978
7.5,0.500262838775329,1.62493970330793,1.5713687544346
8,0.500222621565622,1.69993969250133,1.57128116675773
8.5,0.500188558027759,1.77493968474877,1.57120698094396
9,0.500159706583388,1.84993967918716,1.57114414636602
9.5,0.500135269725605,1.92493967519732,1.57109092616325
10,0.500114571974583,1.99993967233504,1.57104584923254
10.5,0.500097041206183,2.07493967028167,1.57100766956504
11,0.500082192837453,2.1499396688086,1.57097533180446
11.5,0.500069616431897,2.22493966775184,1.57094794207536
12,0.500058964354273,2.29993966699373,1.57092474327489
12.5,0.50004994216133,2.37493966644986,1.57090509414514
13,0.500042300462849,2.4499396660597,1.57088845154764
13.5,0.500035828028044,2.5249396657798,1.57087435545004
14,0.500030345946754,2.59993966557901,1.57086241620995
14.5,0.50002570268403,2.67493966543496,1.57085230380453
15,0.500021769891434,2.74993966533162,1.57084373870804
15.5,0.500018438859244,2.82493966525748,1.57083648416527
16,0.500015617511517,2.8999396652043,1.5708303396471
16.5,0.50001322786094,2.97493966516614,1.57082513530762
17,0.500011203853114,3.04993966513877,1.57082072728916
17.5,0.500009489540687,3.12493966511914,1.57081699374588
18,0.500008037536867,3.19993966510505,1.57081383147568
18.5,0.500006807705559,3.27493966509495,1.5708111530675
19,0.500005766051932,3.3499396650877,1.57080888448516
19.5,0.500004883782735,3.4249396650825,1.5708069630208
20,0.500004136510404,3.49993966507877,1.57080533556156
20.5,0.500003503578937,3.57493966507609,1.57080395712144
21,0.500002967492927,3.64993966507417,1.57080278959778
21.5,0.500002513433958,3.72493966507279,1.57080180071804
22,0.500002128850991,3.7999396650718,1.57080096314776
22.5,0.500001803113437,3.87493966507109,1.57080025373491
23,0.500001527217302,3.94993966507059,1.57079965287001
23.5,0.500001293536302,4.02493966507022,1.57079914394403
24,0.500001095611058,4.09993966506996,1.57079871288931
24.5,0.500000927970548,4.17493966506977,1.57079834779069
25,0.500000785980875,4.24993966506964,1.57079803855617
25.5,0.500000665717179,4.32493966506954,1.57079777663792
26,0.500000563855148,4.39993966506947,1.57079755479603
26.5,0.500000477579125,4.47493966506942,1.57079736689839
27,0.50000040450428,4.54993966506939,1.57079720775114
27.5,0.500000342610688,4.62493966506936,1.57079707295517
28,0.500000290187495,4.69993966506934,1.57079695878447
28.5,0.500000245785625,4.77493966506933,1.57079686208313
29,0.500000208177728,4.84993966506932,1.57079678017816
29.5,0.500000176324252,4.92493966506931,1.57079671080554
30,0.500000149344707,4.99993966506931,1.5707966520477
30.5,0.500000126493329,5.07493966506931,1.57079660228046
31,0.500000107138462,5.1499396650693,1.57079656012814
31.5,0.500000090745102,5.2249396650693,1.5707965244256
32,0.500000076860106,5.2999396650693,1.57079649418593
32.5,0.500000065099666,5.3749396650693,1.57079646857327
33,0.500000055138703,5.4499396650693,1.57079644687962
33.5,0.500000046701877,5.5249396650693,1.57079642850534
34,0.500000039555977,5.59993966506929,1.57079641294253
34.5,0.500000033503479,5.67493966506929,1.57079639976099
35,0.500000028377079,5.74993966506929,1.57079638859638
35.5,0.500000024035074,5.82493966506929,1.57079637914008
36,0.500000020357444,5.89993966506929,1.57079637113069
36.5,0.500000017242532,5.97493966506929,1.57079636434683
37,0.500000014604235,6.04993966506928,1.57079635860097
37.5,0.500000012369627,6.12493966506928,1.57079635373429
38,0.500000010476938,6.19993966506928,1.57079634961227
38.5,0.500000008873852,6.27493966506928,1.57079634612096
39,0.500000007516055,6.34993966506928,1.57079634316386
39.5,0.500000006366016,6.42493966506928,1.57079634065923
40,0.500000005391946,6.49993966506927,1.57079633853783
40.5,0.500000004566919,6.57493966506927,1.57079633674104
41,0.50000000386813,6.64993966506927,1.57079633521917
41.5,0.500000003276264,6.72493966506927,1.57079633393016
42,0.50000000277496,6.79993966506927,1.57079633283839
42.5,0.50000000235036,6.87493966506927,1.57079633191367
43,0.500000001990729,6.94993966506927,1.57079633113044
43.5,0.500000001686126,7.02493966506926,1.57079633046705
44,0.50000000142813,7.09993966506926,1.57079632990517
44.5,0.500000001209611,7.17493966506926,1.57079632942927
45,0.500000001024527,7.24993966506926,1.57079632902618
45.5,0.500000000867763,7.32493966506926,1.57079632868477
46,0.500000000734986,7.39993966506926,1.5707963283956
46.5,0.500000000622525,7.47493966506925,1.57079632815067
47,0.500000000527272,7.54993966506925,1.57079632794322
47.5,0.500000000446594,7.62493966506925,1.57079632776752
48,0.50000000037826,7.69993966506925,1.5707963276187
48.5,0.500000000320382,7.77493966506925,1.57079632749265
49,0.50000000027136,7.84993966506925,1.57079632738588
49.5,0.500000000229839,7.92493966506924,1.57079632729546
50,0.500000000194671,7.99993966506924,1.57079632721886
50.5,0.500000000164884,8.07493966506924,1.57079632715399
51,0.500000000139655,8.14993966506925,1.57079632709905
51.5,0.500000000118286,8.22493966506925,1.57079632705251
52,0.500000000100187,8.29993966506925,1.57079632701309
52.5,0.500000000084858,8.37493966506926,1.57079632697971
53,0.500000000071874,8.44993966506926,1.57079632695143
53.5,0.500000000060876,8.52493966506926,1.57079632692748
54,0.500000000051561,8.59993966506926,1.57079632690719
54.5,0.500000000043672,8.67493966506927,1.57079632689001
55,0.50000000003699,8.74993966506927,1.57079632687546
55.5,0.50000000003133,8.82493966506927,1.57079632686313
56,0.500000000026536,8.89993966506928,1.57079632685269
56.5,0.500000000022475,8.97493966506928,1.57079632684385
57,0.500000000019037,9.04993966506928,1.57079632683636
57.5,0.500000000016124,9.12493966506928,1.57079632683001
58,0.500000000013657,9.19993966506929,1.57079632682464
58.5,0.500000000011567,9.27493966506929,1.57079632682009
59,0.500000000009797,9.34993966506929,1.57079632681623
59.5,0.500000000008298,9.4249396650693,1.57079632681297
60,0.500000000007028,9.4999396650693,1.5707963268102
60.5,0.500000000005953,9.5749396650693,1.57079632680786
61,0.500000000005042,9.6499396650693,1.57079632680588
61.5,0.500000000004271,9.72493966506931,1.5707963268042
62,0.500000000003617,9.79993966506931,1.57079632680277
62.5,0.500000000003064,9.87493966506931,1.57079632680157
63,0.500000000002595,9.94993966506932,1.57079632680055
63.5,0.500000000002198,10.0249396650693,1.57079632679968
64,0.500000000001861,10.0999396650693,1.57079632679895
64.5,0.500000000001576,10.1749396650693,1.57079632679833
65,0.500000000001335,10.2499396650693,1.5707963267978
65.5,0.500000000001131,10.3249396650693,1.57079632679736
66,0.500000000000958,10.3999396650693,1.57079632679698
66.5,0.500000000000811,10.4749396650693,1.57079632679666
67,0.500000000000687,10.5499396650693,1.57079632679639
67.5,0.500000000000582,10.6249396650693,1.57079632679616
68,0.500000000000493,10.6999396650693,1.57079632679597
68.5,0.500000000000417,10.7749396650693,1.57079632679581
69,0.500000000000353,10.8499396650693,1.57079632679567
69.5,0.500000000000299,10.9249396650694,1.57079632679555
70,0.500000000000254,10.9999396650694,1.57079632679545
70.5,0.500000000000215,11.0749396650694,1.57079632679536
71,0.500000000000182,11.1499396650694,1.57079632679529
71.5,0.500000000000154,11.2249396650694,1.57079632679523
72,0.500000000000131,11.2999396650694,1.57079632679518
72.5,0.500000000000111,11.3749396650694,1.57079632679514
73,0.500000000000094,11.4499396650694,1.5707963267951
73.5,0.500000000000079,11.5249396650694,1.57079632679507
74,0.500000000000067,11.5999396650694,1.57079632679504
74.5,0.500000000000057,11.6749396650694,1.57079632679502
75,0.500000000000048,11.7499396650694,1.570796326795
75.5,0.500000000000041,11.8249396650694,1.57079632679499
76,0.500000000000034,11.8999396650694,1.57079632679497
76.5,0.500000000000029,11.9749396650694,1.57079632679496
77,0.500000000000025,12.0499396650694,1.57079632679495
77.5,0.500000000000021,12.1249396650694,1.57079632679494
78,0.500000000000018,12.1999396650694,1.57079632679494
78.5,0.500000000000015,12.2749396650694,1.57079632679493
79,0.500000000000013,12.3499396650694,1.57079632679492
79.5,0.500000000000011,12.4249396650694,1.57079632679492
80,0.500000000000009,12.4999396650694,1.57079632679492
80.5,0.500000000000008,12.5749396650694,1.57079632679491
81,0.500000000000006,12.6499396650694,1.57079632679491
81.5,0.500000000000005,12.7249396650694,1.57079632679491
82,0.500000000000004,12.7999396650694,1.57079632679491
82.5,0.500000000000004,12.8749396650694,1.57079632679491
83,0.500000000000003,12.9499396650694,1.5707963267949
83.5,0.500000000000003,13.0249396650694,1.5707963267949
84,0.500000000000002,13.0999396650694,1.5707963267949
84.5,0.500000000000002,13.1749396650694,1.5707963267949
85,0.500000000000001,13.2499396650694,1.5707963267949
85.5,0.500000000000001,13.3249396650694,1.5707963267949
86,0.500000000000001,13.3999396650694,1.5707963267949
86.5,0.500000000000001,13.4749396650694,1.5707963267949
87,0.500000000000001,13.5499396650695,1.5707963267949
87.5,0.500000000000001,13.6249396650695,1.5707963267949
88,0.500000000000001,13.6999396650695,1.5707963267949
88.5,0.500000000000001,13.7749396650695,1.5707963267949
89,0.500000000000001,13.8499396650695,1.5707963267949
89.5,0.500000000000001,13.9249396650695,1.5707963267949
90,0.500000000000001,13.9999396650695,1.5707963267949
90.5,0.500000000000001,14.0749396650695,1.5707963267949
91,0.500000000000001,14.1499396650695,1.5707963267949
91.5,0.500000000000001,14.2249396650695,1.5707963267949
92,0.500000000000001,14.2999396650695,1.5707963267949
92.5,0.500000000000001,14.3749396650695,1.5707963267949
93,0.500000000000001,14.4499396650695,1.5707963267949
93.5,0.500000000000001,14.5249396650695,1.5707963267949
94,0.500000000000001,14.5999396650695,1.5707963267949
94.5,0.500000000000001,14.6749396650695,1.5707963267949
95,0.500000000000001,14.7499396650695,1.5707963267949
